nl,t,yv,ya,m,ACT,CAP,inv_cost,sc
R12_CHN,coal_adv,2025,2050.0,M1,59.91234447602686,70.4851111482669,567.0000000000001,sv_2c
R12_CHN,coal_adv,2030,2030.0,M1,0.0,0.0,599.6764468462759,sv_2c
R12_CHN,coal_adv,2030,2035.0,M1,0.0,0.0,599.6764468462759,sv_2c
R12_CHN,coal_adv,2030,2040.0,M1,0.0,0.0,599.6764468462759,sv_2c
R12_CHN,coal_adv,2030,2045.0,M1,0.0,0.0,599.6764468462759,sv_2c
R12_CHN,coal_adv,2030,2050.0,M1,0.0,0.0,599.6764468462759,sv_2c
R12_CHN,coal_adv,2030,2055.0,M1,0.0,0.0,599.6764468462759,sv_2c
R12_CHN,coal_adv,2035,2035.0,M1,0.0,0.0,625.5989237464436,sv_2c
R12_CHN,coal_adv,2035,2040.0,M1,0.0,0.0,625.5989237464436,sv_2c
R12_CHN,coal_adv,2035,2045.0,M1,0.0,0.0,625.5989237464436,sv_2c
R12_CHN,coal_adv,2035,2050.0,M1,0.0,0.0,625.5989237464436,sv_2c
R12_CHN,coal_adv,2035,2055.0,M1,0.0,0.0,625.5989237464436,sv_2c
R12_CHN,coal_adv,2035,2060.0,M1,0.0,0.0,625.5989237464436,sv_2c
R12_CHN,coal_adv,2040,2040.0,M1,0.0,0.0,638.800591695254,sv_2c
R12_CHN,coal_adv,2040,2045.0,M1,0.0,0.0,638.800591695254,sv_2c
R12_CHN,coal_adv,2040,2050.0,M1,0.0,0.0,638.800591695254,sv_2c
R12_CHN,coal_adv,2040,2055.0,M1,0.0,0.0,638.800591695254,sv_2c
R12_CHN,coal_adv,2040,2060.0,M1,0.0,0.0,638.800591695254,sv_2c
R12_CHN,coal_adv,2040,2070.0,M1,0.0,0.0,638.800591695254,sv_2c
R12_CHN,coal_adv,2045,2045.0,M1,0.0,0.0,654.8437837161323,sv_2c
R12_CHN,coal_adv,2045,2050.0,M1,0.0,0.0,654.8437837161323,sv_2c
R12_CHN,coal_adv,2045,2055.0,M1,0.0,0.0,654.8437837161323,sv_2c
R12_CHN,coal_adv,2045,2060.0,M1,0.0,0.0,654.8437837161323,sv_2c
R12_CHN,coal_adv,2045,2070.0,M1,0.0,0.0,654.8437837161323,sv_2c
R12_CHN,coal_adv,2050,2050.0,M1,0.0,0.0,674.4563938287969,sv_2c
R12_CHN,coal_adv,2050,2055.0,M1,0.0,0.0,674.4563938287969,sv_2c
R12_CHN,coal_adv,2050,2060.0,M1,0.0,0.0,674.4563938287969,sv_2c
R12_CHN,coal_adv,2050,2070.0,M1,0.0,0.0,674.4563938287969,sv_2c
R12_CHN,coal_adv,2050,2080.0,M1,0.0,0.0,674.4563938287969,sv_2c
R12_CHN,coal_adv,2055,2055.0,M1,0.0,0.0,694.2551951130628,sv_2c
R12_CHN,coal_adv,2055,2060.0,M1,0.0,0.0,694.2551951130628,sv_2c
R12_CHN,coal_adv,2055,2070.0,M1,0.0,0.0,694.2551951130628,sv_2c
R12_CHN,coal_adv,2055,2080.0,M1,0.0,0.0,694.2551951130628,sv_2c
R12_CHN,coal_adv,2060,2060.0,M1,0.0,0.0,719.3783251919585,sv_2c
R12_CHN,coal_adv,2060,2070.0,M1,0.0,0.0,719.3783251919585,sv_2c
R12_CHN,coal_adv,2060,2080.0,M1,0.0,0.0,719.3783251919585,sv_2c
R12_CHN,coal_adv,2060,2090.0,M1,0.0,0.0,719.3783251919585,sv_2c
R12_CHN,coal_adv,2070,2070.0,M1,0.0,0.0,773.5903031724201,sv_2c
R12_CHN,coal_adv,2070,2080.0,M1,0.0,0.0,773.5903031724201,sv_2c
R12_CHN,coal_adv,2070,2090.0,M1,0.0,0.0,773.5903031724201,sv_2c
R12_CHN,coal_adv,2080,2080.0,M1,0.0,0.0,816.0634620154908,sv_2c
R12_CHN,coal_adv,2080,2090.0,M1,0.0,0.0,816.0634620154908,sv_2c
R12_CHN,coal_adv,2080,2100.0,M1,0.0,0.0,816.0634620154908,sv_2c
R12_CHN,coal_adv,2090,2090.0,M1,0.0,0.0,852.2597836036772,sv_2c
R12_CHN,coal_adv,2090,2100.0,M1,0.0,0.0,852.2597836036772,sv_2c
R12_CHN,coal_adv,2090,2110.0,M1,0.0,0.0,852.2597836036772,sv_2c
R12_CHN,coal_adv,2100,2100.0,M1,0.0,0.0,882.4858720651135,sv_2c
R12_CHN,coal_adv,2100,2110.0,M1,0.0,0.0,882.4858720651135,sv_2c
R12_CHN,coal_adv,2110,2110.0,M1,0.0,0.0,882.4858720651135,sv_2c
R12_CHN,coal_adv_ccs,2030,2030.0,M1,0.0,0.0,2691.2971365009917,sv_2c
R12_CHN,coal_adv_ccs,2030,2035.0,M1,0.0,0.0,2691.2971365009917,sv_2c
R12_CHN,coal_adv_ccs,2030,2040.0,M1,0.0,0.0,2691.2971365009917,sv_2c
R12_CHN,coal_adv_ccs,2030,2045.0,M1,0.0,0.0,2691.2971365009917,sv_2c
R12_CHN,coal_adv_ccs,2030,2050.0,M1,0.0,0.0,2691.2971365009917,sv_2c
R12_CHN,coal_adv_ccs,2030,2055.0,M1,0.0,0.0,2691.2971365009917,sv_2c
R12_CHN,coal_adv_ccs,2035,2035.0,M1,0.0,0.0,2640.7240760694826,sv_2c
R12_CHN,coal_adv_ccs,2035,2040.0,M1,0.0,0.0,2640.7240760694826,sv_2c
R12_CHN,coal_adv_ccs,2035,2045.0,M1,0.0,0.0,2640.7240760694826,sv_2c
R12_CHN,coal_adv_ccs,2035,2050.0,M1,0.0,0.0,2640.7240760694826,sv_2c
R12_CHN,coal_adv_ccs,2035,2055.0,M1,0.0,0.0,2640.7240760694826,sv_2c
R12_CHN,coal_adv_ccs,2035,2060.0,M1,0.0,0.0,2640.7240760694826,sv_2c
R12_CHN,coal_adv_ccs,2040,2040.0,M1,0.0,0.0,2588.369106763621,sv_2c
R12_CHN,coal_adv_ccs,2040,2045.0,M1,0.0,0.0,2588.369106763621,sv_2c
R12_CHN,coal_adv_ccs,2040,2050.0,M1,0.0,0.0,2588.369106763621,sv_2c
R12_CHN,coal_adv_ccs,2040,2055.0,M1,0.0,0.0,2588.369106763621,sv_2c
R12_CHN,coal_adv_ccs,2040,2060.0,M1,0.0,0.0,2588.369106763621,sv_2c
R12_CHN,coal_adv_ccs,2040,2070.0,M1,0.0,0.0,2588.369106763621,sv_2c
R12_CHN,coal_adv_ccs,2045,2045.0,M1,0.0,0.0,2555.0564534482146,sv_2c
R12_CHN,coal_adv_ccs,2045,2050.0,M1,0.0,0.0,2555.0564534482146,sv_2c
R12_CHN,coal_adv_ccs,2045,2055.0,M1,0.0,0.0,2555.0564534482146,sv_2c
R12_CHN,coal_adv_ccs,2045,2060.0,M1,0.0,0.0,2555.0564534482146,sv_2c
R12_CHN,coal_adv_ccs,2045,2070.0,M1,0.0,0.0,2555.0564534482146,sv_2c
R12_CHN,coal_adv_ccs,2050,2050.0,M1,0.0,0.0,2539.0231166082663,sv_2c
R12_CHN,coal_adv_ccs,2050,2055.0,M1,0.0,0.0,2539.0231166082663,sv_2c
R12_CHN,coal_adv_ccs,2050,2060.0,M1,0.0,0.0,2539.0231166082663,sv_2c
R12_CHN,coal_adv_ccs,2050,2070.0,M1,0.0,0.0,2539.0231166082663,sv_2c
R12_CHN,coal_adv_ccs,2050,2080.0,M1,0.0,0.0,2539.0231166082663,sv_2c
R12_CHN,coal_adv_ccs,2055,2055.0,M1,0.0,0.0,2532.6254195078677,sv_2c
R12_CHN,coal_adv_ccs,2055,2060.0,M1,0.0,0.0,2532.6254195078677,sv_2c
R12_CHN,coal_adv_ccs,2055,2070.0,M1,0.0,0.0,2532.6254195078677,sv_2c
R12_CHN,coal_adv_ccs,2055,2080.0,M1,0.0,0.0,2532.6254195078677,sv_2c
R12_CHN,coal_adv_ccs,2060,2060.0,M1,0.0,0.0,2542.0744668446355,sv_2c
R12_CHN,coal_adv_ccs,2060,2070.0,M1,0.0,0.0,2542.0744668446355,sv_2c
R12_CHN,coal_adv_ccs,2060,2080.0,M1,0.0,0.0,2542.0744668446355,sv_2c
R12_CHN,coal_adv_ccs,2060,2090.0,M1,0.0,0.0,2542.0744668446355,sv_2c
R12_CHN,coal_adv_ccs,2070,2070.0,M1,0.0,0.0,2583.975325804082,sv_2c
R12_CHN,coal_adv_ccs,2070,2080.0,M1,0.0,0.0,2583.975325804082,sv_2c
R12_CHN,coal_adv_ccs,2070,2090.0,M1,0.0,0.0,2583.975325804082,sv_2c
R12_CHN,coal_adv_ccs,2080,2080.0,M1,0.0,0.0,2622.9728681667425,sv_2c
R12_CHN,coal_adv_ccs,2080,2090.0,M1,0.0,0.0,2622.9728681667425,sv_2c
R12_CHN,coal_adv_ccs,2080,2100.0,M1,0.0,0.0,2622.9728681667425,sv_2c
R12_CHN,coal_adv_ccs,2090,2090.0,M1,0.0,0.0,2662.0692277054027,sv_2c
R12_CHN,coal_adv_ccs,2090,2100.0,M1,0.0,0.0,2662.0692277054027,sv_2c
R12_CHN,coal_adv_ccs,2090,2110.0,M1,0.0,0.0,2662.0692277054027,sv_2c
R12_CHN,coal_adv_ccs,2100,2100.0,M1,0.0,0.0,2698.169125595051,sv_2c
R12_CHN,coal_adv_ccs,2100,2110.0,M1,0.0,0.0,2698.169125595051,sv_2c
R12_CHN,coal_adv_ccs,2110,2110.0,M1,0.0,0.0,2698.169125595051,sv_2c
R12_CHN,coal_ppl,1980,1980.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,1980,1985.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1980,1990.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1980,1995.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1980,2000.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1980,2005.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1980,2010.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1980,2015.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1980,2020.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1980,2025.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1985,1985.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,1985,1990.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1985,1995.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1985,2000.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1985,2005.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1985,2010.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1985,2015.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1985,2020.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1985,2025.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1990,1990.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,1990,1995.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1990,2000.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1990,2005.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1990,2010.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1990,2015.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1990,2020.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1990,2025.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1990,2030.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,1995,1995.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,1995,2000.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1995,2005.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1995,2010.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1995,2015.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1995,2020.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1995,2025.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,1995,2030.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2000,2000.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2000,2005.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2000,2010.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2000,2015.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2000,2020.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2000,2025.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2000,2030.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2000,2035.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2005,2005.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2005,2010.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2005,2015.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2005,2020.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2005,2025.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2005,2030.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2005,2035.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2010,2010.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2010,2015.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2010,2020.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2010,2025.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2010,2030.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2010,2035.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2010,2040.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2015,2015.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2015,2020.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2015,2025.0,M1,0.0,,485.85,sv_2c
R12_CHN,coal_ppl,2015,2030.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2015,2035.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2015,2040.0,M1,0.0,0.0,485.85,sv_2c
R12_CHN,coal_ppl,2020,2020.0,M1,0.0,0.0,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2020,2025.0,M1,0.0,,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2020,2030.0,M1,36.858520999999996,71.884,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2020,2035.0,M1,34.126929000000004,71.884,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2020,2040.0,M1,0.0,71.884,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2020,2045.0,M1,0.0,0.0,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2025,2025.0,M1,0.0,0.0,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2025,2030.0,M1,35.576646,69.384,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2025,2035.0,M1,0.0,7.424684038690101,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2025,2040.0,M1,0.0,7.424684038690101,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2025,2045.0,M1,0.3407314591208567,7.424684038690101,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2025,2050.0,M1,0.0,0.0,486.00000000000006,sv_2c
R12_CHN,coal_ppl,2030,2030.0,M1,34.294771,66.884,527.6652318238936,sv_2c
R12_CHN,coal_ppl,2030,2035.0,M1,0.0,4.621572827875168,527.6652318238936,sv_2c
R12_CHN,coal_ppl,2030,2040.0,M1,0.0,4.621572827875168,527.6652318238936,sv_2c
R12_CHN,coal_ppl,2030,2045.0,M1,0.0,4.621572827875168,527.6652318238936,sv_2c
R12_CHN,coal_ppl,2030,2050.0,M1,3.9283369036938924,4.621572827875168,527.6652318238936,sv_2c
R12_CHN,coal_ppl,2030,2055.0,M1,3.9283369036938924,4.621572827875168,527.6652318238936,sv_2c
R12_CHN,coal_ppl,2035,2035.0,M1,7.012968320388545,64.384,562.7473980757577,sv_2c
R12_CHN,coal_ppl,2035,2040.0,M1,0.0,0.0,562.7473980757577,sv_2c
R12_CHN,coal_ppl,2035,2045.0,M1,0.0,0.0,562.7473980757577,sv_2c
R12_CHN,coal_ppl,2035,2050.0,M1,0.0,0.0,562.7473980757577,sv_2c
R12_CHN,coal_ppl,2035,2055.0,M1,0.0,0.0,562.7473980757577,sv_2c
R12_CHN,coal_ppl,2035,2060.0,M1,0.0,0.0,562.7473980757577,sv_2c
R12_CHN,coal_ppl,2040,2040.0,M1,0.0,61.884,585.2141988565324,sv_2c
R12_CHN,coal_ppl,2040,2045.0,M1,0.0,0.0,585.2141988565324,sv_2c
R12_CHN,coal_ppl,2040,2050.0,M1,0.0,0.0,585.2141988565324,sv_2c
R12_CHN,coal_ppl,2040,2055.0,M1,0.0,0.0,585.2141988565324,sv_2c
R12_CHN,coal_ppl,2040,2060.0,M1,0.0,0.0,585.2141988565324,sv_2c
R12_CHN,coal_ppl,2040,2070.0,M1,0.0,0.0,585.2141988565324,sv_2c
R12_CHN,coal_ppl,2045,2045.0,M1,0.0,0.0,608.9300182286962,sv_2c
R12_CHN,coal_ppl,2045,2050.0,M1,0.0,0.0,608.9300182286962,sv_2c
R12_CHN,coal_ppl,2045,2055.0,M1,0.0,0.0,608.9300182286962,sv_2c
R12_CHN,coal_ppl,2045,2060.0,M1,0.0,0.0,608.9300182286962,sv_2c
R12_CHN,coal_ppl,2045,2070.0,M1,0.0,0.0,608.9300182286962,sv_2c
R12_CHN,coal_ppl,2050,2050.0,M1,0.0,0.0,634.761896649998,sv_2c
R12_CHN,coal_ppl,2050,2055.0,M1,0.0,0.0,634.761896649998,sv_2c
R12_CHN,coal_ppl,2050,2060.0,M1,0.0,0.0,634.761896649998,sv_2c
R12_CHN,coal_ppl,2050,2070.0,M1,0.0,0.0,634.761896649998,sv_2c
R12_CHN,coal_ppl,2050,2080.0,M1,0.0,0.0,634.761896649998,sv_2c
R12_CHN,coal_ppl,2055,2055.0,M1,0.0,0.0,659.6960810514456,sv_2c
R12_CHN,coal_ppl,2055,2060.0,M1,0.0,0.0,659.6960810514456,sv_2c
R12_CHN,coal_ppl,2055,2070.0,M1,0.0,0.0,659.6960810514456,sv_2c
R12_CHN,coal_ppl,2055,2080.0,M1,0.0,0.0,659.6960810514456,sv_2c
R12_CHN,coal_ppl,2060,2060.0,M1,0.0,0.0,688.762303549878,sv_2c
R12_CHN,coal_ppl,2060,2070.0,M1,0.0,0.0,688.762303549878,sv_2c
R12_CHN,coal_ppl,2060,2080.0,M1,0.0,0.0,688.762303549878,sv_2c
R12_CHN,coal_ppl,2060,2090.0,M1,0.0,0.0,688.762303549878,sv_2c
R12_CHN,coal_ppl,2070,2070.0,M1,0.0,0.0,748.4685239191364,sv_2c
R12_CHN,coal_ppl,2070,2080.0,M1,0.0,0.0,748.4685239191364,sv_2c
R12_CHN,coal_ppl,2070,2090.0,M1,0.0,0.0,748.4685239191364,sv_2c
R12_CHN,coal_ppl,2080,2080.0,M1,0.0,0.0,794.4323550071263,sv_2c
R12_CHN,coal_ppl,2080,2090.0,M1,0.0,0.0,794.4323550071263,sv_2c
R12_CHN,coal_ppl,2080,2100.0,M1,0.0,0.0,794.4323550071263,sv_2c
R12_CHN,coal_ppl,2090,2090.0,M1,0.0,0.0,832.5475393517307,sv_2c
R12_CHN,coal_ppl,2090,2100.0,M1,0.0,0.0,832.5475393517307,sv_2c
R12_CHN,coal_ppl,2090,2110.0,M1,0.0,0.0,832.5475393517307,sv_2c
R12_CHN,coal_ppl,2100,2100.0,M1,0.0,0.0,863.6758082885558,sv_2c
R12_CHN,coal_ppl,2100,2110.0,M1,0.0,0.0,863.6758082885558,sv_2c
R12_CHN,coal_ppl,2110,2110.0,M1,0.0,0.0,863.6758082885558,sv_2c
R12_CHN,coal_ppl_u,1960,1960.0,M1,0.0,0.0,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1965.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1970.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1975.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1980.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1985.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1990.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1995.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2000.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2005.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2010.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2015.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2020.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2025.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1965.0,M1,0.0,0.0,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1970.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1975.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1980.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1985.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1990.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1995.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2000.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2005.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2010.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2015.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2020.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2025.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1970.0,M1,0.0,0.0,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1975.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1980.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1985.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1990.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1995.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2000.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2005.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2010.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2015.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2020.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2025.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2030.0,M1,0.0,0.0,338.58,sv_2c
R12_CHN,coal_ppl_u,1975,1975.0,M1,0.0,0.0,338.58,sv_2c
R12_CHN,coal_ppl_u,1975,1980.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1975,1985.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1975,1990.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1975,1995.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1975,2000.0,M1,0.0,,338.58,sv_2c
